Company Name,Customer Class,Product,Effective Start Date (mm/dd/yyyy),Effective End Date(mm/dd/yyyy),Contract Length(months),Natural Gas $/GJ,Service Area
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2005","07/31/2005","1",="8.09","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2006","07/31/2006","1",="5.89","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2007","07/31/2007","1",="5.55","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2008","07/31/2008","1",="10.01","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2009","07/31/2009","1",="1.93","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2010","07/31/2010","1",="4.75","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2011","07/31/2011","1",="3.39","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2012","07/31/2012","1",="2.1","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2013","07/31/2013","1",="1.58","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2014","07/31/2014","1",="5.78","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2015","07/31/2015","1",="1.82","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Gas Rate July 2016","07/01/2016","07/31/2016","0",="1.631","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home","Regulated Gas Rate July 2017","07/01/2017","07/31/2017","0",="1.822","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home","DERS Regulated Gas Rate July 2018","07/01/2018","07/31/2018","0",="1.485","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate July 2019","07/01/2019","07/31/2019","0",="0.372","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate July 2020","07/01/2020","07/31/2020","0",="1.53","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate July 2021","07/01/2021","07/31/2021","0",="3.028","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate July 2022","07/01/2022","07/31/2022","0",="8.324","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate July 2023","07/01/2023","07/31/2023","0",="2.273","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2002","08/31/2002","1",="1.85","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2003","08/31/2003","1",="5.03","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2004","08/31/2004","1",="6.61","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2005","08/31/2005","1",="6.2","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2006","08/31/2006","1",="4.15","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2007","08/31/2007","1",="5.7","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2008","08/31/2008","1",="11.23","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2009","08/31/2009","1",="2.92","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2010","08/31/2010","1",="2.48","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2011","08/31/2011","1",="3.9","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2012","08/31/2012","1",="2.31","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2013","08/31/2013","1",="1.78","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2014","08/31/2014","1",="3.56","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","08/01/2015","08/31/2015","1",="3.2","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Gas Rate August 2016","08/01/2016","08/31/2016","0",="2.364","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home","Regulated Gas Rate August 2017","08/01/2017","08/31/2017","0",="2.328","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home","DERS Regulated Gas Rate August 2018","08/01/2018","08/31/2018","0",="1.16","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate August 2019","08/01/2019","08/31/2019","0",="1.029","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate August 2020","08/01/2020","08/31/2020","0",="1.359","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate Aug 2021","08/01/2021","08/31/2021","0",="3.328","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate August 2022","08/01/2022","08/31/2022","0",="5.797","ATCO Electric,ATCO Gas North,ATCO Gas South"
